
15:40:42 | Pipe | clients  4 | logs      179,220 | watches      1,792 | flows        896 | payload    174.2 MiB
15:40:43 | Pipe | clients  4 | logs      179,976 | watches      1,799 | flows        899 | payload    174.9 MiB
15:40:44 | Pipe | clients  4 | logs      180,725 | watches      1,807 | flows        903 | payload    175.6 MiB
15:40:45 | Pipe | clients  4 | logs      181,476 | watches      1,814 | flows        907 | payload    176.4 MiB
15:40:46 | Pipe | clients  4 | logs      182,221 | watches      1,822 | flows        911 | payload    177.1 MiB
15:40:47 | Pipe | clients  4 | logs      182,978 | watches      1,829 | flows        914 | payload    177.8 MiB
15:40:48 | Pipe | clients  4 | logs      183,727 | watches      1,837 | flows        918 | payload    178.5 MiB
15:40:49 | Pipe | clients  4 | logs      184,470 | watches      1,844 | flows        922 | payload    179.3 MiB
15:40:50 | Pipe | clients  4 | logs      185,231 | watches      1,852 | flows        926 | payload    180.0 MiB
15:40:51 | Pipe | clients  4 | logs      185,970 | watches      1,859 | flows        929 | payload    180.7 MiB
15:40:52 | Pipe | clients  4 | logs      186,723 | watches      1,867 | flows        933 | payload    181.5 MiB
15:40:53 | Pipe | clients  4 | logs      187,478 | watches      1,874 | flows        937 | payload    182.2 MiB
15:40:54 | Pipe | clients  4 | logs      188,221 | watches      1,882 | flows        941 | payload    182.9 MiB
15:40:55 | Pipe | clients  4 | logs      188,976 | watches      1,889 | flows        944 | payload    183.6 MiB
15:40:56 | Pipe | clients  4 | logs      189,726 | watches      1,897 | flows        948 | payload    184.4 MiB
15:40:57 | Pipe | clients  4 | logs      190,475 | watches      1,904 | flows        952 | payload    185.1 MiB
15:40:58 | Pipe | clients  4 | logs      191,226 | watches      1,912 | flows        956 | payload    185.8 MiB
15:40:59 | Pipe | clients  4 | logs      191,979 | watches      1,919 | flows        959 | payload    186.6 MiB
15:41:00 | Pipe | clients  4 | logs      192,722 | watches      1,927 | flows        963 | payload    187.3 MiB
15:41:01 | Pipe | clients  4 | logs      193,476 | watches      1,934 | flows        967 | payload    188.0 MiB
15:41:02 | Pipe | clients  4 | logs      194,227 | watches      1,942 | flows        971 | payload    188.7 MiB
15:41:03 | Pipe | clients  4 | logs      194,968 | watches      1,949 | flows        974 | payload    189.5 MiB
15:41:04 | Pipe | clients  4 | logs      195,723 | watches      1,957 | flows        978 | payload    190.2 MiB
15:41:05 | Pipe | clients  4 | logs      196,470 | watches      1,964 | flows        982 | payload    190.9 MiB
15:41:06 | Pipe | clients  4 | logs      197,226 | watches      1,972 | flows        986 | payload    191.7 MiB
15:41:07 | Pipe | clients  4 | logs      197,979 | watches      1,979 | flows        989 | payload    192.4 MiB
15:41:08 | Pipe | clients  4 | logs      198,722 | watches      1,987 | flows        993 | payload    193.1 MiB
15:41:09 | Pipe | clients  4 | logs      199,478 | watches      1,994 | flows        997 | payload    193.9 MiB
15:41:10 | Pipe | clients  4 | logs      200,221 | watches      2,002 | flows      1,001 | payload    194.6 MiB
15:41:11 | Pipe | clients  4 | logs      200,976 | watches      2,009 | flows      1,004 | payload    195.3 MiB
15:41:12 | Pipe | clients  4 | logs      201,722 | watches      2,017 | flows      1,008 | payload    196.0 MiB
15:41:13 | Pipe | clients  4 | logs      202,473 | watches      2,024 | flows      1,012 | payload    196.8 MiB
15:41:14 | Pipe | clients  4 | logs      203,228 | watches      2,032 | flows      1,016 | payload    197.5 MiB
15:41:15 | Pipe | clients  4 | logs      203,971 | watches      2,039 | flows      1,019 | payload    198.2 MiB
15:41:16 | Pipe | clients  4 | logs      204,726 | watches      2,047 | flows      1,023 | payload    199.0 MiB
15:41:17 | Pipe | clients  4 | logs      205,473 | watches      2,054 | flows      1,027 | payload    199.7 MiB
15:41:18 | Pipe | clients  4 | logs      206,227 | watches      2,062 | flows      1,031 | payload    200.4 MiB
15:41:19 | Pipe | clients  4 | logs      206,975 | watches      2,069 | flows      1,034 | payload    201.1 MiB
15:41:20 | Pipe | clients  4 | logs      207,719 | watches      2,077 | flows      1,038 | payload    201.9 MiB
15:41:21 | Pipe | clients  4 | logs      208,474 | watches      2,084 | flows      1,042 | payload    202.6 MiB
15:41:22 | Pipe | clients  4 | logs      209,228 | watches      2,092 | flows      1,046 | payload    203.3 MiB
