
13:40:10 | Tcp  | clients  8 | logs    1,774,620 | watches     17,743 | flows      8,871 | payload   1724.6 MiB
13:40:11 | Tcp  | clients  8 | logs    1,782,360 | watches     17,819 | flows      8,907 | payload   1732.1 MiB
13:40:12 | Tcp  | clients  8 | logs    1,790,793 | watches     17,904 | flows      8,952 | payload   1740.3 MiB
13:40:13 | Tcp  | clients  8 | logs    1,798,884 | watches     17,984 | flows      8,992 | payload   1748.1 MiB
13:40:14 | Tcp  | clients  8 | logs    1,806,574 | watches     18,063 | flows      9,031 | payload   1755.6 MiB
13:40:15 | Tcp  | clients  8 | logs    1,814,218 | watches     18,138 | flows      9,066 | payload   1763.0 MiB
13:40:16 | Tcp  | clients  8 | logs    1,822,663 | watches     18,223 | flows      9,111 | payload   1771.3 MiB
13:40:17 | Tcp  | clients  8 | logs    1,830,726 | watches     18,304 | flows      9,152 | payload   1779.1 MiB
13:40:18 | Tcp  | clients  8 | logs    1,838,597 | watches     18,383 | flows      9,191 | payload   1786.7 MiB
13:40:19 | Tcp  | clients  8 | logs    1,846,849 | watches     18,464 | flows      9,232 | payload   1794.8 MiB
13:40:20 | Tcp  | clients  8 | logs    1,854,458 | watches     18,541 | flows      9,269 | payload   1802.2 MiB
13:40:21 | Tcp  | clients  8 | logs    1,862,704 | watches     18,624 | flows      9,312 | payload   1810.2 MiB
13:40:22 | Tcp  | clients  8 | logs    1,870,882 | watches     18,704 | flows      9,352 | payload   1818.1 MiB
13:40:23 | Tcp  | clients  8 | logs    1,878,630 | watches     18,783 | flows      9,391 | payload   1825.6 MiB
13:40:24 | Tcp  | clients  8 | logs    1,886,707 | watches     18,864 | flows      9,432 | payload   1833.5 MiB
13:40:25 | Tcp  | clients  8 | logs    1,894,853 | watches     18,944 | flows      9,472 | payload   1841.4 MiB
